model,suite,metric,score,completed,errors,input_tokens,output_tokens,cost_usd
grok-4-20,welsh-obscenities,accuracy_pct,16.0,100,0,22639,100,0.009195
grok-4-20,welsh-registers,accuracy_pct,81.0,100,0,48093,100,0.032142
grok-4-20,welsh-toxigen,accuracy_pct,24.0,100,0,25114,3684,0.021787
grok-4-20,welsh-yes-no,accuracy_pct,57.0,100,0,28674,538,0.014676
grok-4-20,wnli-cy,accuracy_pct,70.4225,71,0,21789,71,0.014713
grok-4-20,xnli-brit-cy,accuracy_pct,46.0,100,0,31966,945,0.023638
kimi-k3,arc-welsh-challenge,accuracy_pct,92.0,100,0,22237,800,0.079036
kimi-k3,arc-welsh-easy,accuracy_pct,97.0,100,0,20826,800,0.074478
kimi-k3,copa-cy,accuracy_pct,92.0,100,0,13585,800,0.053038
kimi-k3,mgsm-cy,accuracy_pct,74.0,100,0,19736,981,0.074283
kimi-k3,piqa-welsh,accuracy_pct,88.0,100,0,22332,800,0.079345
kimi-k3,truthfulqa-welsh-mc1,accuracy_pct,74.0,100,0,25221,800,0.087663
kimi-k3,welsh-arc-easy-mini-cy,accuracy_pct,92.0,50,0,9954,400,0.037108
kimi-k3,welsh-bilingual-placenames,accuracy_pct,57.0,100,0,11267,1200,0.056134
kimi-k3,welsh-cefr,accuracy_pct,32.0,100,0,19111,900,0.071484
kimi-k3,welsh-grammar,accuracy_pct,56.0,100,0,10413,800,0.043239
kimi-k3,welsh-legislation-translation,BLEU,67.623,100,0,12696,5454,0.12929
kimi-k3,welsh-lexicon,accuracy_pct,60.0,100,0,9855,800,0.042191
kimi-k3,welsh-mmlu-lite,accuracy_pct,75.0,100,0,26924,800,0.120474
kimi-k3,welsh-obscenities,accuracy_pct,62.0,100,0,10670,800,0.046209
kimi-k3,welsh-registers,accuracy_pct,80.0,100,0,36564,800,0.125541
kimi-k3,welsh-toxigen,accuracy_pct,95.0,100,0,13204,800,0.059035
kimi-k3,welsh-yes-no,accuracy_pct,74.0,100,0,17470,1010,0.068609
kimi-k3,wnli-cy,accuracy_pct,73.2394,71,0,13663,568,0.0509
kimi-k3,xnli-brit-cy,accuracy_pct,79.0,100,0,20586,800,0.074142
