model,suite,metric,score,completed,invalid,errors,input_tokens,output_tokens,cost_usd
caernarfon-3b,wnli-cy,accuracy_pct,0.0,71,71,0,0,0,0
caernarfon-3b,xnli-brit-cy,accuracy_pct,0.0,100,100,0,0,0,0
claude-fable-5,arc-welsh-challenge,accuracy_pct,72.0,100,0,0,21950,358,0.2374
claude-fable-5,arc-welsh-easy,accuracy_pct,74.0,100,0,0,19870,450,0.2212
claude-fable-5,copa-cy,accuracy_pct,99.0,100,0,0,10615,853,0.1488
claude-fable-5,mgsm-cy,accuracy_pct,100.0,100,0,0,19280,1158,0.2507
claude-fable-5,piqa-welsh,accuracy_pct,90.0,100,0,0,21776,1008,0.26816
claude-fable-5,truthfulqa-welsh-mc1,accuracy_pct,97.0,100,0,0,27094,412,0.29154
claude-fable-5,welsh-arc-easy-mini-cy,accuracy_pct,68.0,50,0,0,9741,124,0.10361
claude-fable-5,welsh-bilingual-placenames,accuracy_pct,72.0,100,0,0,6917,3517,0.24502
claude-fable-5,welsh-cefr,accuracy_pct,41.0,100,0,0,18353,3138,0.34043
claude-fable-5,welsh-grammar,accuracy_pct,61.0,100,0,0,6642,7677,0.45027
claude-fable-5,welsh-legislation-translation,BLEU,69.4592,100,0,0,9294,7939,0.48989
claude-fable-5,welsh-lexicon,accuracy_pct,77.0,100,0,0,5288,4392,0.27248
claude-fable-5,welsh-mmlu-lite,accuracy_pct,86.0,100,0,0,29569,567,0.32404
claude-fable-5,welsh-obscenities,accuracy_pct,92.0,100,0,0,6719,3543,0.24434
claude-fable-5,welsh-registers,accuracy_pct,89.0,100,0,0,44646,418,0.46736
claude-fable-5,welsh-toxigen,accuracy_pct,46.0,100,0,0,10559,9337,0.57244
claude-fable-5,welsh-yes-no,accuracy_pct,71.0,100,0,0,16111,4521,0.38716
claude-fable-5,wnli-cy,accuracy_pct,91.5493,71,0,0,13381,2336,0.25061
claude-fable-5,xnli-brit-cy,accuracy_pct,89.0,100,0,0,20821,1287,0.27256
claude-opus-4-8,arc-welsh-challenge,accuracy_pct,92.0,100,0,0,21950,365,0.118875
claude-opus-4-8,arc-welsh-easy,accuracy_pct,98.0,100,0,0,19870,300,0.10685
claude-opus-4-8,copa-cy,accuracy_pct,97.0,100,0,0,10615,300,0.060575
claude-opus-4-8,mgsm-cy,accuracy_pct,89.0,100,0,0,19280,542,0.10995
claude-opus-4-8,piqa-welsh,accuracy_pct,86.0,100,0,0,21776,299,0.116355
claude-opus-4-8,truthfulqa-welsh-mc1,accuracy_pct,98.0,100,0,0,27094,300,0.14297
claude-opus-4-8,welsh-arc-easy-mini-cy,accuracy_pct,96.0,50,0,0,9741,150,0.052455
claude-opus-4-8,welsh-bilingual-placenames,accuracy_pct,61.0,100,0,0,6917,961,0.05861
claude-opus-4-8,welsh-cefr,accuracy_pct,25.0,100,0,0,18353,400,0.101765
claude-opus-4-8,welsh-grammar,accuracy_pct,72.0,100,0,0,6642,346,0.04186
claude-opus-4-8,welsh-legislation-translation,BLEU,69.2939,100,0,0,9294,6812,0.21677
claude-opus-4-8,welsh-lexicon,accuracy_pct,68.0,100,0,0,5288,368,0.03564
claude-opus-4-8,welsh-mmlu-lite,accuracy_pct,91.0,100,0,0,29569,300,0.155345
claude-opus-4-8,welsh-obscenities,accuracy_pct,57.0,100,0,0,6719,357,0.04252
claude-opus-4-8,welsh-registers,accuracy_pct,90.0,100,0,0,44646,300,0.23073
claude-opus-4-8,welsh-toxigen,accuracy_pct,87.0,100,0,0,10559,329,0.06102
claude-opus-4-8,welsh-yes-no,accuracy_pct,81.0,100,0,0,16111,1675,0.12243
claude-opus-4-8,wnli-cy,accuracy_pct,90.1408,71,0,0,13381,213,0.07223
claude-opus-4-8,xnli-brit-cy,accuracy_pct,90.0,100,0,0,20821,300,0.111605
deepseek-v4-flash-0731,arc-welsh-challenge,accuracy_pct,87.0,100,0,0,15536,174,0.001976
deepseek-v4-flash-0731,arc-welsh-easy,accuracy_pct,97.0,100,0,0,14113,181,0.001813
deepseek-v4-flash-0731,copa-cy,accuracy_pct,76.0,100,0,0,7292,382,0.001041
deepseek-v4-flash-0731,mgsm-cy,accuracy_pct,31.0,100,0,0,13589,274,0.001827
deepseek-v4-flash-0731,piqa-welsh,accuracy_pct,74.0,100,0,0,15785,175,0.002024
deepseek-v4-flash-0731,truthfulqa-welsh-mc1,accuracy_pct,64.0,100,0,0,18463,205,0.002386
deepseek-v4-flash-0731,welsh-arc-easy-mini-cy,accuracy_pct,92.0,50,0,0,6813,94,0.000777
deepseek-v4-flash-0731,welsh-bilingual-placenames,accuracy_pct,27.0,100,0,0,4965,392,0.000737
deepseek-v4-flash-0731,welsh-cefr,accuracy_pct,17.0,100,0,0,13091,277,0.001759
deepseek-v4-flash-0731,welsh-grammar,accuracy_pct,73.0,100,0,0,4101,179,0.000566
deepseek-v4-flash-0731,welsh-legislation-translation,BLEU,64.95,100,0,0,6403,4878,0.00223
deepseek-v4-flash-0731,welsh-lexicon,accuracy_pct,49.0,100,0,0,3644,213,0.000509
deepseek-v4-flash-0731,welsh-mmlu-lite,accuracy_pct,67.0,100,0,0,20670,174,0.002681
deepseek-v4-flash-0731,welsh-obscenities,accuracy_pct,28.0,100,0,0,4444,235,0.000651
deepseek-v4-flash-0731,welsh-registers,accuracy_pct,79.0,100,0,0,30259,185,0.003771
deepseek-v4-flash-0731,welsh-toxigen,accuracy_pct,69.0,100,0,0,6916,182,0.00093
deepseek-v4-flash-0731,welsh-yes-no,accuracy_pct,57.0,100,0,0,11084,519,0.001512
deepseek-v4-flash-0731,wnli-cy,accuracy_pct,80.2817,71,0,0,9032,126,0.001213
deepseek-v4-flash-0731,xnli-brit-cy,accuracy_pct,42.0,100,0,0,14469,175,0.001904
glm-5-2,arc-welsh-challenge,accuracy_pct,81.0,100,0,0,16001,195,0.013848
glm-5-2,arc-welsh-easy,accuracy_pct,92.0,100,0,0,14605,213,0.014261
glm-5-2,copa-cy,accuracy_pct,87.0,100,0,0,7569,208,0.006689
glm-5-2,mgsm-cy,accuracy_pct,47.0,100,0,0,13647,230,0.013042
glm-5-2,piqa-welsh,accuracy_pct,73.0,100,0,0,16026,229,0.013453
glm-5-2,truthfulqa-welsh-mc1,accuracy_pct,62.0,100,0,0,19007,208,0.016854
glm-5-2,welsh-arc-easy-mini-cy,accuracy_pct,92.0,50,0,0,6999,98,0.005424
glm-5-2,welsh-bilingual-placenames,accuracy_pct,49.0,100,0,0,5269,544,0.009144
glm-5-2,welsh-cefr,accuracy_pct,34.0,100,0,0,13177,300,0.011238
glm-5-2,welsh-grammar,accuracy_pct,62.0,100,0,0,4413,199,0.004488
glm-5-2,welsh-legislation-translation,BLEU,57.0691,100,0,0,6712,4861,0.025073
glm-5-2,welsh-lexicon,accuracy_pct,80.0,100,0,0,3867,197,0.003714
glm-5-2,welsh-mmlu-lite,accuracy_pct,67.0,100,0,0,21115,180,0.023574
glm-5-2,welsh-obscenities,accuracy_pct,51.0,100,0,0,4653,198,0.006457
glm-5-2,welsh-registers,accuracy_pct,75.0,100,0,0,31064,188,0.023254
glm-5-2,welsh-toxigen,accuracy_pct,83.0,100,0,0,7223,177,0.007976
glm-5-2,welsh-yes-no,accuracy_pct,55.0,100,0,0,11379,406,0.010295
glm-5-2,wnli-cy,accuracy_pct,67.6056,71,0,0,9476,141,0.007731
glm-5-2,xnli-brit-cy,accuracy_pct,74.0,100,0,0,14621,198,0.01276
gpt-5-6-sol,arc-welsh-challenge,accuracy_pct,95.0,100,0,0,13959,500,0.084795
gpt-5-6-sol,arc-welsh-easy,accuracy_pct,100.0,100,0,0,12837,500,0.079185
gpt-5-6-sol,copa-cy,accuracy_pct,97.0,100,0,0,6898,500,0.04949
gpt-5-6-sol,mgsm-cy,accuracy_pct,86.0,100,0,0,11929,545,0.075995
gpt-5-6-sol,piqa-welsh,accuracy_pct,93.0,100,0,0,14101,500,0.085505
gpt-5-6-sol,truthfulqa-welsh-mc1,accuracy_pct,85.0,100,0,0,16175,500,0.095875
gpt-5-6-sol,welsh-arc-easy-mini-cy,accuracy_pct,96.0,50,0,0,6349,250,0.039245
gpt-5-6-sol,welsh-bilingual-placenames,accuracy_pct,65.0,100,0,0,5552,850,0.05326
gpt-5-6-sol,welsh-cefr,accuracy_pct,39.0,100,0,0,11602,600,0.07601
gpt-5-6-sol,welsh-grammar,accuracy_pct,72.0,100,0,0,4621,500,0.038105
gpt-5-6-sol,welsh-legislation-translation,BLEU,71.9345,100,0,0,6979,4447,0.168305
gpt-5-6-sol,welsh-lexicon,accuracy_pct,74.0,100,0,0,4127,500,0.035635
gpt-5-6-sol,welsh-mmlu-lite,accuracy_pct,94.0,100,0,0,18567,500,0.107835
gpt-5-6-sol,welsh-obscenities,accuracy_pct,76.0,100,0,0,4934,500,0.03967
gpt-5-6-sol,welsh-registers,accuracy_pct,88.0,100,0,0,28120,500,0.1556
gpt-5-6-sol,welsh-toxigen,accuracy_pct,93.0,100,0,0,6687,500,0.048435
gpt-5-6-sol,welsh-yes-no,accuracy_pct,76.0,100,0,0,10917,673,0.074775
gpt-5-6-sol,wnli-cy,accuracy_pct,85.9155,71,0,0,8429,355,0.052795
gpt-5-6-sol,xnli-brit-cy,accuracy_pct,78.0,100,0,0,12886,500,0.07943
grok-4-20,arc-welsh-challenge,accuracy_pct,85.0,100,0,0,33451,280,0.022891
grok-4-20,arc-welsh-easy,accuracy_pct,96.0,100,0,0,32013,190,0.021541
grok-4-20,copa-cy,accuracy_pct,89.0,100,0,0,25172,2529,0.019509
grok-4-20,mgsm-cy,accuracy_pct,13.0,100,0,0,31224,1175,0.023622
grok-4-20,piqa-welsh,accuracy_pct,84.0,100,0,0,33472,100,0.0224
grok-4-20,truthfulqa-welsh-mc1,accuracy_pct,56.0,100,0,0,36200,100,0.025542
grok-4-20,welsh-arc-easy-mini-cy,accuracy_pct,90.0,50,0,0,15831,50,0.010035
grok-4-20,welsh-bilingual-placenames,accuracy_pct,46.0,100,0,0,23250,443,0.010884
grok-4-20,welsh-cefr,accuracy_pct,22.0,100,0,0,30733,200,0.020369
grok-4-20,welsh-grammar,accuracy_pct,67.0,100,0,0,22377,100,0.009136
grok-4-20,welsh-legislation-translation,BLEU,64.198,100,0,0,24670,4766,0.023869
grok-4-20,welsh-lexicon,accuracy_pct,33.0,100,0,0,21855,100,0.008484
grok-4-20,welsh-mmlu-lite,accuracy_pct,71.0,100,0,0,38665,921,0.031751
grok-4-20,welsh-obscenities,accuracy_pct,16.0,100,0,0,22639,100,0.009195
grok-4-20,welsh-registers,accuracy_pct,81.0,100,0,0,48093,100,0.032142
grok-4-20,welsh-toxigen,accuracy_pct,24.0,100,0,0,25114,3684,0.021787
grok-4-20,welsh-yes-no,accuracy_pct,57.0,100,0,0,28674,538,0.014676
grok-4-20,wnli-cy,accuracy_pct,70.4225,71,0,0,21789,71,0.014713
grok-4-20,xnli-brit-cy,accuracy_pct,46.0,100,0,0,31966,945,0.023638
kimi-k3,arc-welsh-challenge,accuracy_pct,92.0,100,0,0,22237,800,0.079036
kimi-k3,arc-welsh-easy,accuracy_pct,97.0,100,0,0,20826,800,0.074478
kimi-k3,copa-cy,accuracy_pct,92.0,100,0,0,13585,800,0.053038
kimi-k3,mgsm-cy,accuracy_pct,74.0,100,0,0,19736,981,0.074283
kimi-k3,piqa-welsh,accuracy_pct,88.0,100,0,0,22332,800,0.079345
kimi-k3,truthfulqa-welsh-mc1,accuracy_pct,74.0,100,0,0,25221,800,0.087663
kimi-k3,welsh-arc-easy-mini-cy,accuracy_pct,92.0,50,0,0,9954,400,0.037108
kimi-k3,welsh-bilingual-placenames,accuracy_pct,57.0,100,0,0,11267,1200,0.056134
kimi-k3,welsh-cefr,accuracy_pct,32.0,100,0,0,19111,900,0.071484
kimi-k3,welsh-grammar,accuracy_pct,56.0,100,0,0,10413,800,0.043239
kimi-k3,welsh-legislation-translation,BLEU,67.623,100,0,0,12696,5454,0.12929
kimi-k3,welsh-lexicon,accuracy_pct,60.0,100,0,0,9855,800,0.042191
kimi-k3,welsh-mmlu-lite,accuracy_pct,75.0,100,0,0,26924,800,0.120474
kimi-k3,welsh-obscenities,accuracy_pct,62.0,100,0,0,10670,800,0.046209
kimi-k3,welsh-registers,accuracy_pct,80.0,100,0,0,36564,800,0.125541
kimi-k3,welsh-toxigen,accuracy_pct,95.0,100,0,0,13204,800,0.059035
kimi-k3,welsh-yes-no,accuracy_pct,74.0,100,0,0,17470,1010,0.068609
kimi-k3,wnli-cy,accuracy_pct,73.2394,71,0,0,13663,568,0.0509
kimi-k3,xnli-brit-cy,accuracy_pct,79.0,100,0,0,20586,800,0.074142
mwydryn,arc-welsh-challenge,accuracy_pct,18.0,100,0,0,18675,1572,0
mwydryn,arc-welsh-easy,accuracy_pct,26.0,100,0,0,17033,1355,0
mwydryn,ccc-crynhoi-dyfynnu,accuracy_pct,8.1667,24,4,0,8322,3664,0
mwydryn,ccc-cyfarwyddyd-cymraeg,accuracy_pct,15.0,24,1,0,5829,2367,0
mwydryn,ccc-cyfarwyddyd-saesneg,accuracy_pct,13.3333,24,0,0,5323,717,0
mwydryn,ccc-cyfeiriadau,accuracy_pct,22.8125,32,1,0,6887,1405,0
mwydryn,ccc-cywiro-esbonio,accuracy_pct,0.0,64,2,0,19818,3474,0
mwydryn,ccc-priod-ddull,accuracy_pct,50.0,32,0,0,4342,741,0
mwydryn,ccc-termau,accuracy_pct,50.0,32,0,0,3600,271,0
mwydryn,copa-cy,accuracy_pct,53.0,100,0,0,8980,230,0
mwydryn,mgsm-cy,accuracy_pct,1.0,100,5,0,14949,11386,0
mwydryn,piqa-welsh,accuracy_pct,49.0,100,0,0,18506,563,0
mwydryn,truthfulqa-welsh-mc1,accuracy_pct,98.0,100,0,0,22445,3021,0
mwydryn,welsh-arc-easy-mini-cy,accuracy_pct,34.0,50,0,0,8005,781,0
mwydryn,welsh-bilingual-placenames,accuracy_pct,1.0,100,0,0,5889,790,0
mwydryn,welsh-cefr,accuracy_pct,8.0,100,2,0,13791,461,0
mwydryn,welsh-grammar,accuracy_pct,16.0,100,0,0,5157,1800,0
mwydryn,welsh-legislation-translation,BLEU,9.1123,100,6,0,6795,4454,0
mwydryn,welsh-lexicon,accuracy_pct,22.0,100,0,0,4389,380,0
mwydryn,welsh-mmlu-lite,accuracy_pct,29.0,100,0,0,23808,2105,0
mwydryn,welsh-obscenities,accuracy_pct,4.0,100,0,0,5203,373,0
mwydryn,welsh-registers,accuracy_pct,39.0,100,0,0,34257,200,0
mwydryn,welsh-toxigen,accuracy_pct,9.0,100,4,0,7968,2891,0
mwydryn,welsh-yes-no,accuracy_pct,2.0,100,33,0,7787,1070,0
mwydryn,wnli-cy,accuracy_pct,42.2535,71,0,0,10790,295,0
mwydryn,xnli-brit-cy,accuracy_pct,33.0,100,0,0,16207,230,0
mwydryn-7b-v2,arc-welsh-challenge,accuracy_pct,43.0,100,0,0,19865,2301,0
mwydryn-7b-v2,arc-welsh-easy,accuracy_pct,51.0,100,0,0,18128,1766,0
mwydryn-7b-v2,ccc-crynhoi-dyfynnu,accuracy_pct,5.0,24,0,0,10290,3874,0
mwydryn-7b-v2,ccc-cyfarwyddyd-cymraeg,accuracy_pct,19.1667,24,0,0,6191,1540,0
mwydryn-7b-v2,ccc-cyfarwyddyd-saesneg,accuracy_pct,7.5,24,0,0,5383,4205,0
mwydryn-7b-v2,ccc-cyfeiriadau,accuracy_pct,25.0,32,0,0,7688,1671,0
mwydryn-7b-v2,ccc-cywiro-esbonio,accuracy_pct,0.0,64,0,0,20929,1493,0
mwydryn-7b-v2,ccc-priod-ddull,accuracy_pct,50.0,32,0,0,4591,1024,0
mwydryn-7b-v2,ccc-termau,accuracy_pct,50.0,32,0,0,3846,292,0
mwydryn-7b-v2,copa-cy,accuracy_pct,73.0,100,0,0,9861,1753,0
mwydryn-7b-v2,mgsm-cy,accuracy_pct,6.0,100,9,0,15348,14019,0
mwydryn-7b-v2,piqa-welsh,accuracy_pct,63.0,100,1,0,18688,5086,0
mwydryn-7b-v2,truthfulqa-welsh-mc1,accuracy_pct,36.0,100,0,0,23662,3213,0
mwydryn-7b-v2,welsh-arc-easy-mini-cy,accuracy_pct,46.0,50,0,0,8578,1411,0
mwydryn-7b-v2,welsh-bilingual-placenames,accuracy_pct,18.0,100,0,0,6938,924,0
mwydryn-7b-v2,welsh-cefr,accuracy_pct,1.0,100,0,0,15926,669,0
mwydryn-7b-v2,welsh-grammar,accuracy_pct,3.0,100,0,0,6195,2170,0
mwydryn-7b-v2,welsh-legislation-translation,BLEU,41.8874,100,2,0,8317,5471,0
mwydryn-7b-v2,welsh-lexicon,accuracy_pct,14.0,100,0,0,5296,2593,0
mwydryn-7b-v2,welsh-mmlu-lite,accuracy_pct,38.0,100,2,0,24252,3163,0
mwydryn-7b-v2,welsh-obscenities,accuracy_pct,0.0,100,0,0,6105,230,0
mwydryn-7b-v2,welsh-registers,accuracy_pct,0.0,100,0,0,36531,8383,0
mwydryn-7b-v2,welsh-toxigen,accuracy_pct,62.0,100,0,0,9177,282,0
mwydryn-7b-v2,welsh-yes-no,accuracy_pct,6.0,100,3,0,12761,2260,0
mwydryn-7b-v2,wnli-cy,accuracy_pct,43.662,71,0,0,11589,213,0
mwydryn-7b-v2,xnli-brit-cy,accuracy_pct,43.0,100,0,0,17706,1240,0
techiaith-llama-3-2-1b-sft,arc-welsh-challenge,accuracy_pct,14.0,100,49,0,9346,12206,0
techiaith-llama-3-2-1b-sft,arc-welsh-easy,accuracy_pct,15.0,100,50,0,8464,10687,0
techiaith-llama-3-2-1b-sft,ccc-crynhoi-dyfynnu,accuracy_pct,0.0,24,23,0,400,322,0
techiaith-llama-3-2-1b-sft,ccc-cyfarwyddyd-cymraeg,accuracy_pct,20.0,24,0,0,5843,2950,0
techiaith-llama-3-2-1b-sft,ccc-cyfarwyddyd-saesneg,accuracy_pct,15.0,24,5,0,4100,2959,0
techiaith-llama-3-2-1b-sft,ccc-cyfeiriadau,accuracy_pct,20.625,32,2,0,6566,5544,0
techiaith-llama-3-2-1b-sft,ccc-cywiro-esbonio,accuracy_pct,0.0,64,63,0,288,280,0
techiaith-llama-3-2-1b-sft,ccc-priod-ddull,accuracy_pct,0.0,32,12,0,2719,3189,0
techiaith-llama-3-2-1b-sft,ccc-termau,accuracy_pct,15.625,32,11,0,2523,3797,0
techiaith-llama-3-2-1b-sft,copa-cy,accuracy_pct,14.0,100,4,0,9499,11051,0
techiaith-llama-3-2-1b-sft,mgsm-cy,accuracy_pct,3.0,100,19,0,12758,11667,0
techiaith-llama-3-2-1b-sft,piqa-welsh,accuracy_pct,18.0,100,32,0,13464,11383,0
techiaith-llama-3-2-1b-sft,truthfulqa-welsh-mc1,accuracy_pct,40.0,100,49,0,10801,11178,0
techiaith-llama-3-2-1b-sft,welsh-arc-easy-mini-cy,accuracy_pct,10.0,50,25,0,4149,4644,0
techiaith-llama-3-2-1b-sft,welsh-bilingual-placenames,accuracy_pct,0.0,100,91,0,714,1455,0
techiaith-llama-3-2-1b-sft,welsh-cefr,accuracy_pct,7.0,100,39,0,9964,10461,0
techiaith-llama-3-2-1b-sft,welsh-grammar,accuracy_pct,0.0,100,13,0,5828,14344,0
techiaith-llama-3-2-1b-sft,welsh-legislation-translation,BLEU,1.0463,100,69,0,2879,5427,0
techiaith-llama-3-2-1b-sft,welsh-lexicon,accuracy_pct,0.0,100,8,0,5763,15931,0
techiaith-llama-3-2-1b-sft,welsh-mmlu-lite,accuracy_pct,13.0,100,39,0,12133,9956,0
techiaith-llama-3-2-1b-sft,welsh-obscenities,accuracy_pct,0.0,100,13,0,6130,13498,0
techiaith-llama-3-2-1b-sft,welsh-registers,accuracy_pct,0.0,100,27,0,24493,18490,0
techiaith-llama-3-2-1b-sft,welsh-toxigen,accuracy_pct,0.0,100,6,0,9055,12892,0
techiaith-llama-3-2-1b-sft,welsh-yes-no,accuracy_pct,0.0,100,22,0,10656,8803,0
techiaith-llama-3-2-1b-sft,wnli-cy,accuracy_pct,36.6197,71,19,0,8156,6324,0
techiaith-llama-3-2-1b-sft,xnli-brit-cy,accuracy_pct,7.0,100,19,0,13810,17418,0
